task_id,target,is_32bit,is_term
1,stdu,True,True
2,stdu,True,False
3,slimpdf,True,True
4,slimpdf,True,False
5,mupdf,True,True
6,mupdf,True,False
7,sumatra,True,True
8,sumatra,True,False
11,xpdf,True,True
12,xpdf,True,False
14,foxit,True,False
13,foxit,True,True
15,uiso,True,True
16,uiso,True,False
17,fsviewer,True,True
18,fsviewer,True,False
19,irfanview,True,True
20,irfanview,True,False
22,kofax,True,False
21,kofax,True,True
28,winrar,False,False
24,acrobat,False,True
25,bandiview,False,True
26,birdfont,False,True
23,winrar,False,True
29,acrobat,False,False
30,bandiview,False,False
31,birdfont,False,False
9,alzip,True,True
10,alzip,True,False
19,irfanview,True,True
20,irfanview,True,False
